ID,N300,N301,N302,N303,N304,N305,N306,N307,N308,N309,N311,N312,N313,N314,N315,N316,N317,N318,N321,N322,N323,N324,N325,N327,N328,N329,N331,N332,N333,N334,N335,N336,N338,N339,N340,N341,N342,N343,N344,N345,N346,N347,N350,N351,N352,N353,N354,N355,N356,N357,N358,N359,N360,N361,N362,N363,N364,N365,N366,N367,N368,N369,N370,N371,N374
N300,6,5,1,2,1,2,3,5,2,2,5,1,2,5,2,1,1,2,2,2,2,2,5,1,1,1,5,2,2,1,1,1,5,4,1,5,2,2,2,2,2,2,2,1,5,3,2,2,1,2,1,2,2,2,1,1,2,2,2,2,1,5,1,1,1
N301,4,6,1,2,1,1,2,5,1,2,4,1,2,4,2,2,1,3,2,2,1,1,4,1,1,1,4,2,2,1,1,3,4,3,1,4,2,1,2,2,2,3,2,1,3,1,3,1,1,2,2,2,2,2,1,1,1,3,3,2,1,3,1,2,1
N302,1,1,6,2,5,4,2,2,4,3,2,5,2,2,3,3,3,3,3,4,4,4,2,5,3,4,1,4,3,5,5,2,2,3,5,2,3,4,5,3,3,3,1,4,1,3,2,3,3,3,1,3,2,2,3,1,1,2,2,2,3,2,2,4,1
N303,1,1,1,6,1,3,2,2,1,1,1,1,1,1,1,2,2,1,4,3,2,2,1,1,2,1,1,4,3,1,1,1,3,3,1,1,4,1,1,1,1,5,2,1,1,1,5,1,1,3,1,2,3,1,2,5,2,1,1,1,1,1,5,1,5
N304,1,1,5,1,6,2,2,1,3,2,1,5,2,2,3,4,2,3,2,5,3,3,2,5,5,1,1,2,2,4,3,2,2,2,3,2,2,4,4,3,2,2,3,1,1,1,2,2,1,2,2,1,1,3,2,1,2,4,1,1,3,1,1,4,1
N305,1,1,3,1,2,6,2,1,3,1,1,2,4,1,3,2,3,2,3,3,2,2,1,2,1,5,1,1,4,4,3,2,1,2,4,1,4,3,4,1,2,3,2,3,1,2,3,2,3,2,1,4,1,1,4,1,2,1,3,1,2,2,1,3,2
N306,2,2,1,1,1,1,6,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,5,1,1,1,1,1,2,1,1,1,2,5,1,1,2,1,1,1,1,1,1,1,5,1,3,1
N307,4,4,1,2,1,2,2,6,1,1,5,1,1,3,1,1,1,1,2,1,1,1,5,1,1,1,5,1,2,1,1,1,5,3,1,5,1,1,1,1,1,3,2,1,3,2,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,4,1,1,1
N308,1,1,4,2,4,3,2,1,6,3,2,4,2,1,4,4,3,2,2,4,4,4,2,3,4,3,1,3,3,4,4,3,1,1,4,2,3,5,4,2,4,2,2,4,2,3,2,3,2,3,3,5,1,3,4,1,3,1,1,1,2,1,1,4,1
N309,2,1,2,1,2,2,3,1,4,6,1,2,3,1,2,2,2,4,3,1,2,2,1,1,1,3,1,2,2,1,1,5,2,2,2,1,1,2,1,3,3,2,5,1,1,2,1,3,1,1,4,2,1,3,2,1,2,1,1,2,1,2,1,2,1
N311,3,3,1,1,1,1,1,5,1,1,6,1,1,3,1,1,1,1,1,2,1,1,5,1,1,1,4,1,1,1,1,1,4,1,1,5,1,1,1,2,1,1,1,1,5,2,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1
N312,1,1,5,1,5,2,2,1,4,2,1,6,2,1,3,3,3,2,3,5,3,3,1,5,5,2,1,2,2,4,3,2,1,1,3,1,1,3,3,4,3,1,1,4,1,2,1,1,2,1,3,2,1,1,1,1,2,1,1,1,2,1,1,5,1
N313,1,1,1,1,1,3,1,1,1,1,1,1,6,1,1,1,2,5,5,1,1,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,5,1,3,1,1,4,1,3,3,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1
N314,5,5,3,2,4,2,3,5,2,2,5,2,3,6,2,1,3,2,3,1,2,3,5,4,3,1,5,2,2,2,1,4,5,5,1,5,3,1,3,4,2,5,5,4,5,4,4,2,2,2,4,2,5,2,3,2,2,1,1,4,3,4,3,1,2
N315,2,2,4,2,3,4,3,2,3,2,2,3,4,2,6,3,4,4,4,4,4,4,2,3,3,5,2,4,5,5,4,2,2,2,5,3,2,3,5,3,4,2,2,3,2,3,2,3,3,2,2,2,2,3,2,2,3,2,2,2,3,2,2,3,3
N316,1,1,3,1,4,2,1,1,5,1,1,3,2,1,2,6,2,2,3,5,5,5,1,5,5,1,1,3,1,3,3,1,1,1,3,1,2,5,4,2,4,1,1,5,1,1,2,1,2,2,3,4,1,3,1,1,4,2,1,1,4,1,1,5,1
N317,1,1,2,2,2,3,2,1,3,2,1,3,3,1,3,3,6,5,3,3,1,1,1,1,1,3,1,5,3,3,1,2,1,2,2,1,5,2,2,2,3,1,1,2,1,3,1,5,5,4,3,1,1,5,2,1,4,2,1,1,5,1,1,1,1
N318,2,3,3,2,3,3,3,2,3,4,2,3,5,2,4,3,5,6,5,3,3,3,2,2,2,3,2,5,4,3,3,4,3,2,3,2,4,4,3,3,5,2,4,3,2,5,2,5,5,3,4,4,2,4,1,1,2,2,2,2,1,4,1,3,1
N321,1,1,2,3,2,3,2,1,2,3,1,2,5,1,3,2,3,5,6,3,2,2,1,1,1,3,1,3,3,2,1,3,2,1,2,1,3,1,1,1,5,1,4,1,1,3,2,4,4,4,4,3,1,4,1,1,1,1,1,1,3,1,1,2,1
N322,2,2,5,5,3,4,3,2,3,2,3,5,3,2,3,5,3,3,4,6,3,4,2,5,5,2,2,4,3,4,3,3,2,3,2,2,2,5,3,3,4,3,3,5,2,2,3,2,2,4,3,4,3,3,1,2,2,2,3,2,3,2,2,5,2
N323,1,1,3,1,3,3,3,1,4,2,1,3,2,1,3,5,2,3,3,4,6,5,1,3,4,3,1,3,2,2,3,1,1,1,2,1,3,5,3,3,3,1,2,5,1,1,1,1,2,1,3,4,1,1,1,1,4,1,1,1,1,1,1,5,1
N324,1,1,4,2,5,3,2,1,5,2,2,4,3,2,4,5,2,2,2,5,5,6,2,3,5,2,2,2,2,2,2,2,1,2,3,1,2,4,3,3,3,2,2,5,1,2,1,2,2,2,2,4,1,1,1,1,2,2,1,1,3,2,1,5,1
N325,4,4,1,2,1,1,2,5,1,1,5,1,1,4,2,1,1,1,1,1,1,1,6,1,1,1,4,1,1,1,1,1,4,3,1,5,1,1,1,1,1,3,2,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1
N327,1,1,4,1,5,2,2,1,2,1,1,5,2,1,2,3,3,2,2,5,3,3,1,6,5,1,1,1,1,2,2,1,1,1,1,1,2,3,3,3,3,1,1,4,1,1,1,1,2,1,4,3,1,1,1,1,2,1,1,1,3,1,1,4,1
N328,1,1,3,1,5,3,1,1,3,1,1,5,2,1,2,5,2,2,2,5,4,3,1,5,6,1,1,1,1,1,3,1,1,1,1,1,2,4,3,2,2,1,1,3,1,1,1,1,1,1,3,1,2,2,2,1,3,1,1,1,3,1,1,5,1
N329,1,1,5,2,4,5,4,2,4,1,1,4,3,1,5,3,2,1,3,2,3,3,1,2,1,6,1,4,5,5,2,1,1,2,5,1,3,4,5,2,1,1,1,1,1,3,2,1,3,1,1,5,1,2,2,1,1,1,2,1,1,1,1,3,1
N331,4,4,1,1,1,1,2,5,1,1,5,1,2,5,1,1,1,2,2,1,1,1,5,1,1,1,6,1,1,1,1,1,5,1,1,5,1,1,1,1,1,3,2,1,5,2,3,1,1,1,2,1,5,1,3,1,1,2,3,4,1,2,1,1,1
N332,1,1,4,3,2,3,2,1,3,2,1,2,3,1,3,3,5,4,4,3,3,3,1,3,2,3,1,6,3,5,2,2,1,3,5,1,5,4,3,3,4,2,2,2,1,3,1,5,5,5,4,3,2,5,3,1,3,3,1,1,5,1,1,2,1
N333,1,1,1,1,2,4,2,1,3,2,1,3,3,1,5,3,4,3,4,2,2,2,1,3,2,5,1,3,6,3,4,2,1,1,5,1,2,3,3,2,3,1,2,2,1,2,1,3,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1
N334,1,1,5,1,5,4,2,1,5,2,1,5,1,1,4,4,2,3,2,3,2,2,1,4,3,3,1,4,3,6,4,2,1,1,5,1,2,4,5,2,3,1,1,3,1,3,1,2,3,3,2,3,1,1,3,1,1,1,2,1,3,1,1,4,1
N335,1,1,5,1,5,3,1,1,5,1,1,5,1,1,4,4,1,2,2,3,3,3,1,5,5,3,1,2,4,5,6,1,1,1,5,1,1,4,5,1,2,1,1,4,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,4,1
N336,1,1,1,1,1,3,2,1,3,5,1,1,4,1,1,1,2,4,4,1,1,2,1,1,1,3,1,1,1,1,1,6,1,1,1,1,1,2,1,2,4,2,5,2,1,5,1,4,1,1,3,1,2,2,1,1,1,1,1,2,1,3,1,2,1
N338,4,4,2,2,2,1,2,4,1,1,4,1,1,5,1,1,1,2,3,2,1,1,4,2,1,1,5,1,1,1,1,1,6,2,1,4,1,1,1,3,2,3,1,1,4,2,1,1,1,1,3,1,5,1,1,1,1,1,1,3,2,2,1,1,1
N339,1,1,2,2,2,2,2,1,1,2,2,1,2,3,2,2,3,2,2,2,1,2,2,2,1,2,1,3,1,2,1,2,1,6,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,3,2,1,1,2,3,1,1,3,2,1,3,1,1,1,1
N340,1,1,5,1,2,3,2,1,3,2,1,3,1,1,5,2,2,2,2,2,2,2,1,1,2,4,1,4,5,5,4,2,1,1,6,1,3,2,5,2,2,1,1,2,1,2,2,1,2,2,1,4,1,1,2,1,1,1,2,1,2,1,1,2,1
N341,3,3,1,1,1,1,1,5,1,1,5,1,1,4,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,4,1,1,6,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1
N342,1,1,3,1,3,3,2,1,2,1,1,2,3,1,2,2,5,3,3,2,2,1,1,1,2,3,1,5,2,3,1,2,1,2,3,1,6,2,3,2,2,1,2,1,1,3,1,4,5,4,3,2,4,5,2,2,3,4,2,1,5,1,1,1,1
N343,1,1,3,1,2,2,2,1,5,2,2,3,2,1,2,4,2,2,2,4,4,4,1,3,5,2,1,3,2,3,4,2,1,1,2,1,2,6,3,2,2,1,1,3,1,3,1,1,2,1,3,5,1,1,3,1,3,1,1,1,1,1,1,3,1
N344,2,2,5,2,4,4,2,1,3,2,2,4,3,2,4,3,3,3,3,3,3,4,2,4,3,3,2,3,3,5,4,2,1,1,5,1,2,3,6,3,3,2,2,3,1,2,2,2,3,2,2,3,2,2,2,1,2,2,2,2,2,2,1,3,2
N345,1,1,1,1,1,2,5,1,2,3,2,1,2,2,2,2,1,2,1,2,2,3,1,1,1,1,1,3,2,2,1,1,2,1,1,1,1,2,1,6,1,1,2,3,2,3,1,1,2,2,5,1,1,1,1,1,2,1,1,2,2,5,1,4,1
N346,2,2,2,2,4,2,3,1,4,3,2,3,5,2,4,4,2,5,5,4,3,2,2,2,3,3,2,4,3,3,3,3,2,2,3,1,2,4,3,3,6,3,3,3,1,4,3,3,4,4,3,3,1,3,1,1,3,2,2,2,1,2,1,3,2
N347,2,2,1,4,1,2,2,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,2,3,5,1,1,1,1,1,2,1,6,1,1,2,2,5,1,1,1,1,1,1,1,1,2,1,2,2,4,1,1,1,1,1
N350,2,2,2,2,3,2,2,2,3,5,3,3,3,2,2,2,2,3,4,3,3,3,3,3,4,4,3,3,2,2,3,5,2,2,2,3,2,3,2,2,3,3,6,2,2,4,2,3,2,1,3,2,2,2,3,1,1,2,1,2,2,2,1,2,1
N351,1,1,4,1,4,1,1,1,4,1,1,5,1,1,3,5,2,2,2,4,5,5,1,4,4,1,1,2,2,3,3,2,1,1,3,1,2,4,4,3,3,1,1,6,1,2,1,1,2,1,3,3,2,1,1,1,1,3,1,1,1,2,1,5,1
N352,5,5,1,2,1,1,3,5,1,2,5,1,2,5,1,1,1,2,1,2,1,1,5,1,1,1,5,2,2,1,1,1,5,3,1,5,1,3,2,4,1,4,2,1,6,2,3,1,1,1,3,2,1,1,1,1,1,1,2,5,2,5,2,1,1
N353,1,1,1,1,1,2,1,1,2,1,1,2,3,1,1,2,2,3,3,1,1,1,1,1,1,3,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,6,1,3,2,2,2,1,1,3,1,1,1,1,1,1,2,1,1,1,1
N354,2,3,2,5,2,4,3,1,1,1,2,1,2,3,1,3,1,3,4,3,1,1,3,1,2,3,3,1,1,2,2,1,2,3,3,2,1,1,2,2,3,5,2,2,1,1,6,2,1,2,3,3,2,1,5,4,1,1,2,1,1,1,4,1,5
N355,2,2,3,2,3,3,2,2,3,3,2,3,4,2,2,3,5,4,4,2,2,2,2,2,2,3,2,5,2,2,2,3,2,3,3,2,5,3,3,2,3,2,4,2,2,4,2,6,5,5,3,2,3,4,2,2,4,3,3,3,4,2,2,2,2
N356,1,1,2,1,3,2,1,1,1,1,1,1,4,1,3,3,5,4,3,2,2,2,1,2,1,2,1,5,2,3,2,1,1,2,2,1,5,3,3,3,3,1,1,2,1,4,1,5,6,4,2,2,1,4,1,1,2,5,1,1,4,1,2,2,1
N357,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,2,5,3,3,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,1,5,1,1,2,3,1,1,1,1,3,1,5,5,6,1,4,1,5,1,1,3,4,1,1,5,3,1,1,1
N358,1,2,3,3,4,3,3,2,3,4,2,3,3,2,1,5,2,3,3,4,4,5,1,3,2,1,1,2,3,4,2,3,1,2,1,1,2,3,2,6,3,1,3,5,1,2,3,4,4,2,6,4,1,1,3,2,5,2,3,1,1,2,1,3,2
N359,1,2,3,2,3,3,2,1,5,1,1,3,5,1,1,5,3,5,5,5,4,4,1,2,4,4,1,5,1,2,3,1,1,2,3,1,1,5,3,1,4,1,2,3,1,2,3,3,2,2,1,6,1,4,4,1,2,1,1,1,5,1,1,3,2
N360,1,2,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,4,2,1,1,1,1,4,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,2,1,2,1,1,1,1,1,1,1
N361,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,3,4,3,3,1,1,1,1,1,1,1,1,5,1,2,1,3,1,4,2,1,5,1,2,1,3,2,1,2,1,3,2,5,5,5,3,3,2,6,1,1,3,2,3,1,5,1,1,1,1
N362,1,1,2,1,1,3,1,1,4,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,1,3,1,1,1,3,2,1,1,1,1,1,1,1,3,1,1,1,2,4,1,1,6,1,1,2,5,1,2,1,1,1,3
N363,1,2,2,5,2,1,2,1,1,1,2,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,1,1,4,1,1,6,1,1,1,3,1,1,5,3,4
N364,1,1,2,4,2,2,1,1,3,2,1,3,2,2,2,3,4,2,2,2,3,3,1,2,2,1,1,4,2,2,1,1,1,1,2,1,4,3,2,1,2,1,1,2,1,1,1,4,4,4,2,2,1,3,1,1,6,1,1,1,4,1,1,3,1
N365,1,1,5,2,5,2,2,1,2,2,1,2,5,1,1,5,5,5,5,5,2,3,1,5,3,2,3,5,3,4,4,2,4,5,4,1,5,2,5,3,5,4,3,1,1,4,2,5,5,5,3,4,4,5,2,3,5,6,3,1,5,4,4,3,1
N366,2,1,2,1,3,4,1,3,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,3,1,3,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,5,1,3,5,1,1,1,6,1,2,3,1,1,2
N367,2,4,1,1,1,2,4,5,1,3,5,1,1,5,1,1,1,2,3,1,1,2,5,1,2,1,5,1,2,1,1,4,5,2,1,5,1,1,1,3,1,4,2,1,4,1,1,2,1,1,1,1,1,2,2,2,2,2,1,6,1,5,1,2,1
N368,1,2,4,2,4,2,3,1,3,2,1,2,2,2,1,5,5,3,3,4,1,3,1,4,4,2,2,5,1,4,2,1,3,4,2,1,5,3,4,3,3,2,4,4,2,4,3,5,5,5,1,5,3,5,4,2,4,5,3,1,6,1,3,4,2
N369,5,4,2,1,2,3,3,1,2,2,4,2,3,5,2,2,1,3,3,1,2,2,4,1,1,2,5,3,2,2,2,2,5,1,3,5,1,1,1,3,2,3,2,2,4,2,1,1,2,1,3,2,4,1,1,1,2,2,3,5,1,6,1,2,2
N370,1,2,1,5,3,4,1,2,2,2,1,2,1,3,2,2,2,1,2,1,1,1,2,2,2,1,1,3,2,2,3,1,3,3,3,1,2,2,3,1,1,3,2,3,2,1,5,3,4,2,3,2,4,1,3,5,3,2,1,1,3,2,6,3,5
N371,1,3,5,1,5,3,3,1,5,3,2,5,2,1,4,5,2,3,3,5,5,5,2,4,4,3,2,3,3,5,5,3,2,2,5,1,2,5,5,4,4,1,3,5,1,3,1,2,2,2,3,3,1,1,1,3,1,1,1,2,2,2,1,6,2
N374,2,1,1,5,1,3,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,3,3,3,2,1,1,1,2,1,1,2,2,1,4,1,3,1,3,4,1,2,1,2,5,1,2,1,1,4,2,2,2,5,5,2,2,4,1,1,5,3,6
